Sąskaitos Nr.,,Data,Gavėjas,Paaiškinimai,Suma,Valiuta,D/K,Įrašo Nr.,Kodas,Įmokos kodas,Dok. Nr.,Kliento kodas mokėtojo IS,Kliento kodas,Pradinis mokėtojas,Galutinis gavėjas
LT647300010178896004,10,2025-12-01,,Likutis pradžiai,2200.5,EUR,K,,AS,,,,,,
LT647300010178896004,20,2025-12-02,John Pavlovich,For dinner,35,EUR,D,2025120500101234,MK,,,,,,
LT647300010178896004,20,2025-12-05,,Bazinio paslaugų plano mokestis 2025.11,1.7,EUR,D,2025120500101235,M,,,,,,
LT647300010178896004,20,2025-12-18,Sarah Paul,,25,EUR,K,2025120500101236,MK,,,,,,
LT647300010178896004,20,2026-01-07,Jonas Paulavicius,,45,EUR,K,2025120500101237,MK,,,,,,
LT647300010178896004,20,2025-12-19,Disney Plus 2132 LS Hoofddorp,PIRKINYS Disney Plus 2132 LS Hoofddorp,13.99,EUR,D,2025120500101239,K,,,,,,
LT647300010178896004,20,2025-12-19,Caffeine,PIRKINYS Caffeine,3.20,EUR,D,2025120500101289,K,,,,,,
LT647300010178896004,82,2026-01-30,,Apyvarta,1250.2,EUR,D,,K2,,,,,,
LT647300010178896004,82,2026-01-30,,Apyvarta,151,EUR,K,,K2,,,,,,
LT647300010178896004,86,2026-01-30,,Likutis pabaigai,2985.2,EUR,K,,LS,,,,,,
